学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
"SOCIAL SCIENCES, GENERAL",FUJIAN NORMAL UNIVERSITY,1537,286,3959,13.840
"SOCIAL SCIENCES, GENERAL",UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,1538,362,3958,10.930
"SOCIAL SCIENCES, GENERAL",SOUTH CHINA AGRICULTURAL UNIVERSITY,1546,296,3943,13.320
"SOCIAL SCIENCES, GENERAL",HUNAN NORMAL UNIVERSITY,1595,429,3798,8.850
"SOCIAL SCIENCES, GENERAL","NANJING INSTITUTE OF GEOGRAPHY & LIMNOLOGY, CAS",1607,187,3773,20.180
"SOCIAL SCIENCES, GENERAL",NORTHWEST UNIVERSITY XI'AN,1610,357,3759,10.530
"SOCIAL SCIENCES, GENERAL",CAPITAL NORMAL UNIVERSITY,1612,426,3757,8.820
"SOCIAL SCIENCES, GENERAL",FUZHOU UNIVERSITY,1628,306,3697,12.080
"SOCIAL SCIENCES, GENERAL",NANJING FORESTRY UNIVERSITY,1647,372,3641,9.790
"SOCIAL SCIENCES, GENERAL",SHANTOU UNIVERSITY,1653,384,3619,9.420
"SOCIAL SCIENCES, GENERAL",BEIJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,1667,204,3566,17.480
"SOCIAL SCIENCES, GENERAL",GUANGXI UNIVERSITY,1673,247,3534,14.310
"SOCIAL SCIENCES, GENERAL",EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,1687,312,3490,11.190
"SOCIAL SCIENCES, GENERAL","SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY, CAS",1708,87,3386,38.920
"SOCIAL SCIENCES, GENERAL",NYU SHANGHAI,1722,200,3367,16.840
"SOCIAL SCIENCES, GENERAL",HARBIN MEDICAL UNIVERSITY,1728,392,3351,8.550
"SOCIAL SCIENCES, GENERAL","THE CHINESE UNIVERSITY OF HONG KONG, SHENZHEN",1738,373,3318,8.900
"SOCIAL SCIENCES, GENERAL",SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,1761,272,3254,11.960
"SOCIAL SCIENCES, GENERAL",JIANGXI NORMAL UNIVERSITY,1792,317,3181,10.030
"SOCIAL SCIENCES, GENERAL","INSTITUTE OF VERTEBRATE PALEONTOLOGY & PALEOANTHROPOLOGY, CAS",1795,211,3169,15.020
"SOCIAL SCIENCES, GENERAL","NATIONAL CENTER FOR CHRONIC & NONCOMMUNICABLE DISEASE CONTROL & PREVENTION, CHINESE CENTER FOR DISEASE CONTROL & PREVENTION",1795,79,3169,40.110
"SOCIAL SCIENCES, GENERAL",SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,1814,300,3126,10.420
"SOCIAL SCIENCES, GENERAL",ANHUI UNIVERSITY,1852,211,3040,14.410
"SOCIAL SCIENCES, GENERAL",GUANGDONG UNIVERSITY OF TECHNOLOGY,1868,265,2991,11.290
"SOCIAL SCIENCES, GENERAL",SHANXI UNIVERSITY,1870,239,2986,12.490
"SOCIAL SCIENCES, GENERAL",SHANGHAI INTERNATIONAL STUDIES UNIVERSITY,1870,543,2986,5.500
"SOCIAL SCIENCES, GENERAL",UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY,1877,282,2975,10.550
"SOCIAL SCIENCES, GENERAL",JIANGNAN UNIVERSITY,1887,344,2947,8.570
"SOCIAL SCIENCES, GENERAL",SHANXI MEDICAL UNIVERSITY,1892,245,2941,12.000
"SOCIAL SCIENCES, GENERAL",BEIJING UNION UNIVERSITY,1896,170,2931,17.240
