total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
20,4,11,5,0,59532.0,2051159.0,31.760499999999997,15,NANYANG TECHNOLOGICAL UNIVERSITY,1
21,4,14,2,1,56073.0,1266857.0,25.187142857142856,18,PURDUE UNIVERSITY SYSTEM,1
21,4,16,1,0,54614.0,1548458.0,30.477619047619047,20,UNIVERSITY OF HONG KONG,1
18,0,13,4,1,33139.0,767965.0,22.439444444444447,13,HEBREW UNIVERSITY OF JERUSALEM,1
9,0,7,2,0,16255.0,429599.0,28.178888888888892,7,RUTGERS UNIVERSITY BIOMEDICAL & HEALTH SCIENCES,1
20,2,15,3,0,42182.0,1106363.0,23.930999999999997,17,UNIVERSITE TOULOUSE III - PAUL SABATIER,1
18,0,7,10,1,30085.0,580894.0,17.62777777777778,7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1
21,7,14,0,0,66331.0,1756662.0,27.018571428571434,21,GHENT UNIVERSITY,1
21,5,13,3,0,60537.0,1633964.0,27.813333333333336,18,AARHUS UNIVERSITY,1
22,0,20,2,0,50067.0,1233537.0,24.717272727272725,20,AUTONOMOUS UNIVERSITY OF BARCELONA,1
19,6,9,4,0,99963.0,1950021.0,17.763684210526314,15,XI'AN JIAOTONG UNIVERSITY,1
11,6,1,3,1,20394.0,1685474.0,75.36818181818182,7,HOWARD HUGHES MEDICAL INSTITUTE,1
20,4,13,2,1,54083.0,1533142.0,29.5065,17,UNIVERSITY OF SOUTHERN CALIFORNIA,1
9,0,6,3,0,16325.0,822410.0,46.534444444444446,6,ACADEMIC MEDICAL CENTER AMSTERDAM,1
11,3,6,1,1,42628.0,1379714.0,28.66727272727273,9,BAYLOR COLLEGE OF MEDICINE,1
19,1,10,5,3,32209.0,837451.0,24.223157894736843,11,UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES,1
19,2,12,4,1,48731.0,1568686.0,34.00052631578948,14,LEIDEN UNIVERSITY - EXCL LUMC,1
19,0,4,12,3,22081.0,509227.0,24.11052631578947,4,UNIVERSITY OF SOUTH CAROLINA COLUMBIA,1
20,1,16,3,0,44389.0,945538.0,21.189,17,UNIVERSITY OF MISSOURI SYSTEM,1
22,5,14,3,0,57233.0,1671990.0,26.75090909090909,19,UNIVERSITE PSL,1
16,3,6,6,1,43765.0,880050.0,17.913124999999997,9,JIANGSU UNIVERSITY,1
16,0,9,6,1,16592.0,540296.0,31.696875000000002,9,UNIVERSITY OF ABERDEEN,1
19,4,12,3,0,40313.0,1319285.0,33.51,16,UNIVERSITY OF COLORADO BOULDER,1
20,0,14,5,1,41071.0,921953.0,20.8575,14,UNIVERSITY OF FLORENCE,1
16,1,9,5,1,20596.0,620927.0,31.955624999999998,10,CARNEGIE MELLON UNIVERSITY,1
17,0,7,9,1,34291.0,881608.0,22.690000000000005,7,NATIONAL & KAPODISTRIAN UNIVERSITY OF ATHENS,1
18,0,9,7,2,29428.0,594696.0,18.073333333333338,9,JAGIELLONIAN UNIVERSITY,1
18,0,10,7,1,50006.0,907942.0,17.94888888888889,10,TOHOKU UNIVERSITY,1
18,1,12,4,1,33133.0,1090254.0,29.96277777777778,13,QUEEN MARY UNIVERSITY LONDON,1
13,0,6,5,2,20587.0,560138.0,31.745384615384616,6,RESEARCH CENTER JULICH,1
15,4,6,3,2,75564.0,1071055.0,15.975333333333337,10,NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM),1
19,0,10,7,2,24236.0,705385.0,30.28473684210526,10,TRINITY COLLEGE DUBLIN,1
14,0,7,5,2,21509.0,411200.0,17.85214285714286,7,NANJING NORMAL UNIVERSITY,1
18,1,9,8,0,38185.0,677087.0,17.55055555555556,10,UNIVERSIDADE ESTADUAL DE CAMPINAS,1
17,0,10,6,1,25615.0,686374.0,24.720588235294116,10,UNIVERSITY OF KIEL,1
9,1,6,2,0,22624.0,759915.0,31.628888888888884,7,KAROLINSKA UNIVERSITY HOSPITAL,1
