iter	Passed	Remaining
1041	9634	64335
1042	9643	64324
1043	9652	64314
1044	9662	64305
1045	9670	64293
1046	9679	64280
1047	9688	64271
1048	9697	64258
1049	9705	64243
1050	9714	64230
1051	9722	64211
1052	9730	64197
1053	9739	64184
1054	9747	64168
1055	9756	64153
1056	9765	64142
1057	9773	64125
1058	9781	64108
1059	9790	64099
1060	9799	64090
1061	9807	64074
1062	9817	64065
1063	9825	64051
1064	9834	64037
1065	9843	64027
1066	9851	64012
1067	9860	63998
1068	9869	63987
1069	9877	63975
1070	9886	63961
1071	9894	63944
1072	9903	63933
1073	9911	63918
1074	9920	63903
1075	9928	63891
1076	9940	63897
1077	9948	63881
1078	9957	63869
1079	9966	63858
1080	9975	63846
1081	9983	63831
1082	9991	63816
1083	10000	63803
1084	10009	63793
1085	10018	63780
1086	10026	63767
1087	10035	63754
1088	10044	63744
1089	10053	63736
1090	10063	63731
1091	10072	63719
1092	10082	63713
1093	10092	63708
1094	10100	63695
1095	10111	63693
1096	10120	63681
1097	10128	63668
1098	10137	63658
1099	10148	63659
1100	10158	63655
1101	10167	63645
1102	10176	63635
1103	10186	63626
1104	10196	63622
1105	10205	63614
1106	10214	63605
1107	10223	63595
1108	10233	63588
1109	10242	63579
1110	10252	63570
1111	10260	63557
1112	10269	63544
1113	10278	63531
1114	10286	63517
1115	10294	63503
1116	10302	63483
1117	10311	63474
1118	10319	63459
1119	10328	63443
1120	10336	63428
1121	10344	63412
1122	10352	63396
1123	10360	63382
1124	10369	63368
1125	10377	63355
1126	10385	63338
1127	10394	63326
1128	10402	63311
1129	10411	63297
1130	10419	63282
1131	10427	63267
1132	10435	63250
1133	10444	63235
1134	10451	63217
1135	10460	63203
1136	10469	63191
1137	10477	63179
1138	10486	63168
1139	10494	63151
1140	10503	63139
1141	10512	63127
1142	10521	63117
1143	10530	63108
1144	10538	63095
1145	10547	63082
1146	10555	63066
1147	10564	63054
1148	10572	63041
1149	10580	63025
1150	10589	63010
1151	10597	62994
1152	10605	62977
1153	10612	62959
1154	10620	62943
1155	10628	62928
1156	10636	62910
1157	10644	62895
1158	10653	62882
1159	10662	62872
1160	10671	62862
1161	10680	62852
1162	10692	62855
1163	10703	62857
1164	10713	62855
1165	10723	62851
1166	10733	62846
1167	10743	62842
1168	10753	62835
1169	10763	62833
1170	10776	62844
1171	10787	62844
1172	10796	62837
1173	10806	62829
1174	10815	62819
1175	10824	62812
1176	10834	62804
1177	10843	62798
1178	10853	62790
1179	10862	62780
1180	10872	62779
1181	10882	62773
1182	10892	62766
1183	10902	62760
1184	10911	62749
1185	10920	62741
1186	10929	62731
1187	10938	62722
1188	10947	62713
1189	10956	62703
1190	10966	62696
1191	10975	62687
1192	10985	62681
1193	10995	62673
1194	11004	62663
1195	11014	62661
1196	11024	62655
1197	11033	62646
1198	11042	62633
1199	11050	62620
1200	11060	62614
1201	11071	62613
1202	11113	62791
1203	11123	62788
1204	11134	62785
1205	11143	62778
1206	11153	62771
1207	11162	62762
1208	11171	62752
1209	11180	62742
1210	11190	62734
1211	11200	62729
1212	11209	62719
1213	11218	62709
1214	11228	62701
1215	11237	62691
1216	11246	62684
1217	11255	62672
1218	11263	62657
1219	11272	62644
1220	11281	62632
1221	11289	62621
1222	11298	62606
1223	11307	62595
1224	11315	62579
1225	11323	62568
1226	11331	62551
1227	11340	62537
1228	11348	62521
1229	11356	62507
1230	11365	62494
1231	11373	62479
1232	11381	62462
1233	11388	62445
1234	11396	62429
1235	11405	62414
1236	11413	62398
1237	11421	62384
1238	11429	62368
1239	11437	62353
1240	11446	62341
1241	11454	62325
1242	11462	62308
1243	11471	62298
1244	11478	62281
1245	11487	62269
1246	11495	62252
1247	11504	62240
1248	11512	62227
1249	11520	62212
1250	11529	62199
1251	11537	62182
1252	11545	62166
1253	11552	62148
1254	11560	62133
1255	11569	62121
1256	11577	62107
1257	11588	62104
1258	11596	62090
1259	11605	62081
1260	11614	62070
1261	11623	62062
1262	11633	62053
1263	11641	62041
1264	11651	62032
1265	11660	62023
1266	11669	62012
1267	11678	62002
1268	11687	61991
1269	11696	61980
1270	11705	61969
1271	11713	61955
1272	11722	61943
1273	11730	61929
1274	11738	61917
1275	11747	61906
1276	11758	61902
1277	11767	61893
1278	11776	61884
1279	11786	61878
1280	11796	61871
1281	11805	61865
1282	11815	61857
1283	11824	61850
1284	11835	61846
1285	11844	61840
1286	11854	61832
1287	11863	61822
1288	11872	61814
1289	11882	61806
1290	11892	61802
1291	11901	61791
1292	11910	61783
1293	11920	61775
1294	11929	61765
1295	11938	61758
1296	11947	61747
1297	11957	61738
1298	11966	61728
1299	11974	61716
1300	11984	61707
1301	11992	61696
1302	12001	61684
1303	12011	61677
1304	12021	61671
1305	12030	61661
1306	12038	61647
1307	12047	61637
1308	12056	61625
1309	12064	61614
1310	12074	61607
1311	12082	61593
1312	12091	61578
1313	12099	61565
1314	12108	61553
1315	12116	61541
1316	12124	61526
1317	12133	61512
1318	12141	61498
1319	12149	61485
1320	12158	61474
1321	12167	61465
1322	12176	61452
1323	12184	61438
1324	12193	61425
1325	12201	61412
1326	12210	61401
1327	12218	61386
1328	12226	61371
1329	12234	61356
1330	12243	61344
1331	12251	61329
1332	12259	61317
1333	12268	61304
1334	12276	61288
1335	12285	61279
1336	12293	61264
1337	12301	61249
1338	12309	61235
1339	12317	61219
1340	12325	61204
1341	12333	61187
1342	12341	61174
1343	12349	61160
1344	12357	61145
1345	12366	61135
1346	12375	61123
1347	12383	61109
1348	12392	61096
1349	12400	61082
1350	12409	61072
1351	12417	61061
1352	12425	61045
1353	12434	61032
1354	12442	61016
1355	12450	61004
1356	12458	60988
1357	12466	60974
1358	12474	60958
1359	12482	60942
1360	12490	60930
1361	12498	60914
1362	12507	60905
1363	12517	60898
1364	12525	60885
1365	12534	60876
1366	12543	60863
1367	12551	60849
1368	12559	60835
1369	12568	60823
1370	12577	60815
1371	12586	60803
1372	12596	60796
1373	12604	60785
1374	12613	60774
1375	12623	60766
1376	12631	60756
1377	12641	60747
1378	12650	60738
1379	12659	60727
1380	12668	60718
1381	12677	60709
