iter	Passed	Remaining
833	8489	93299
834	8503	93332
835	8515	93343
836	8523	93310
837	8531	93277
838	8540	93255
839	8548	93221
840	8557	93191
841	8565	93159
842	8574	93143
843	8583	93118
844	8591	93086
845	8600	93055
846	8608	93024
847	8616	92997
848	8625	92969
849	8633	92942
850	8647	92970
851	8655	92938
852	8663	92902
853	8671	92873
854	8680	92843
855	8689	92823
856	8698	92796
857	8707	92773
858	8717	92764
859	8727	92758
860	8737	92744
861	8746	92721
862	8755	92698
863	8764	92678
864	8773	92657
865	8783	92637
866	8791	92610
867	8800	92583
868	8808	92558
869	8818	92539
870	8827	92525
871	8836	92503
872	8845	92480
873	8855	92464
874	8865	92452
875	8875	92439
876	8884	92422
877	8894	92410
878	8904	92401
879	8914	92385
880	8923	92366
881	8934	92363
882	8944	92351
883	8954	92335
884	8962	92309
885	8972	92294
886	8981	92276
887	8990	92254
888	8999	92236
889	9011	92238
890	9022	92244
891	9033	92234
892	9043	92225
893	9053	92213
894	9062	92195
895	9073	92194
896	9090	92257
897	9104	92284
898	9115	92276
899	9124	92259
900	9134	92244
901	9143	92227
902	9153	92212
903	9163	92206
904	9174	92200
905	9183	92184
906	9194	92175
907	9204	92164
908	9214	92150
909	9223	92132
910	9233	92119
911	9243	92114
912	9254	92104
913	9264	92099
914	9275	92092
915	9285	92084
916	9297	92097
917	9313	92144
918	9322	92120
919	9331	92094
920	9340	92075
921	9349	92059
922	9358	92031
923	9367	92009
924	9376	91989
925	9389	92005
926	9397	91982
927	9409	91989
928	9420	91982
929	9430	91967
930	9439	91951
931	9448	91925
932	9456	91903
933	9469	91919
934	9479	91902
935	9488	91888
936	9500	91892
937	9511	91888
938	9523	91901
939	9576	92303
940	9586	92289
941	9595	92265
942	9607	92270
943	9621	92299
944	9630	92277
945	9639	92259
946	9648	92236
947	9658	92223
948	9668	92216
949	9680	92216
950	9696	92263
951	9711	92301
952	9722	92300
953	9732	92281
954	9740	92256
955	9750	92239
956	9758	92213
957	9768	92202
958	9777	92174
959	9785	92146
960	9795	92138
961	9807	92138
962	9816	92118
963	9825	92099
964	9834	92080
965	9844	92064
966	9853	92046
967	9863	92033
968	9873	92020
969	9883	92005
970	9894	92002
971	9904	91992
972	9914	91980
973	9923	91964
974	9934	91953
975	9943	91938
976	9953	91923
977	9963	91908
978	9973	91901
979	9983	91892
980	9994	91883
981	10004	91877
982	10016	91884
983	10026	91872
984	10037	91870
985	10048	91866
986	10060	91873
987	10071	91865
988	10082	91860
989	10092	91852
990	10103	91844
991	10113	91833
992	10125	91842
993	10136	91839
994	10146	91824
995	10156	91813
996	10166	91806
997	10181	91835
998	10198	91892
999	10215	91942
1000	10227	91941
1001	10237	91931
1002	10246	91911
1003	10254	91886
1004	10271	91933
1005	10283	91935
1006	10299	91979
1007	10309	91965
1008	10318	91946
1009	10328	91930
1010	10337	91912
1011	10348	91905
1012	10358	91895
1013	10367	91880
1014	10377	91859
1015	10386	91839
1016	10395	91820
1017	10403	91794
1018	10412	91769
1019	10421	91746
1020	10436	91785
1021	10445	91763
1022	10454	91742
1023	10463	91720
1024	10473	91711
1025	10489	91747
1026	10499	91731
1027	10508	91713
1028	10517	91695
1029	10527	91677
1030	10536	91659
1031	10545	91639
1032	10554	91620
1033	10564	91609
1034	10574	91592
1035	10583	91574
1036	10592	91554
1037	10602	91544
1038	10612	91530
1039	10621	91510
1040	10632	91505
1041	10642	91496
1042	10653	91489
1043	10663	91474
1044	10672	91459
1045	10682	91448
1046	10692	91435
1047	10701	91414
1048	10711	91396
1049	10720	91383
1050	10730	91370
1051	10743	91377
1052	10754	91378
1053	10765	91371
1054	10775	91358
1055	10785	91349
1056	10795	91336
1057	10805	91328
1058	10817	91326
1059	10827	91318
1060	10838	91315
1061	10849	91310
1062	10860	91306
1063	10871	91305
1064	10883	91306
1065	10895	91310
1066	10907	91320
1067	10919	91320
1068	10931	91323
1069	10941	91319
1070	10954	91328
1071	10966	91334
1072	10978	91335
1073	10998	91405
1074	11009	91408
1075	11023	91423
1076	11036	91436
1077	11048	91441
1078	11060	91445
1079	11073	91460
1080	11093	91526
